Wallet, Votes
0x103af2b33400a4f955744a7f70e749435444f808,44
0x42b81011a367d3c7f4e4b570fadd51209c93f287,46
0xfa860889ee6e3c715a5b76d998223df040b167da,46
0xb8aee482305b7b219704350786fce47847cec996,46
0xa6097a4adf23553623a7917bbbb28c7bb2a7775c,43
0x5ecc0ea06cc6ccdcf52aa0d1139c2813bb6ebef4,40
0x52ff0010d4058bb726725ad76f542c53033d67a1,40
0xece2bbab13b8b7aa5d1f1832ec9b1527f11224c0,41
0x800819b08c66a1ecbea09e4b64c7e3412c104df5,44
0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,46
0x9e89a144f7c05eb0d258b61a71d00bca79e42715,45
0x6bd68d667eccea663b2a2bee1311f7ad6c817602,43
0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,46
0xe02533f1b8bc4befd8561df63721a96936f978f9,44
0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,44
0xd8652a853f4ac24c797faa02e4633bd69ac9394d,32
0x597f0fdbb96485cd258777248052ff0e4781fe4c,44
0x60859ed309e5553b39bd66edf1a3c26473da3b6b,42
0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,43
0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,43
0x043aee850680c4fb982761b585929834c26cc32c,45
0x27aa5a880b512beaf40d1b2e0f256b09f5711444,41
0xb8abe31a6caf1217d632190559b2c1fd909178ec,42
0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,45
0xaba775acf88723e05db5546bae58f10c20a9f061,41
0x45b5e0299401f38d7d18bdde102ae62cdff86429,26
0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,42
0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,42
0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,45
0x0505e7fddf5a88a8a3743ac579cb6f33c181d4bb,14
0x10b4bd1a211bdd057ea16a2e13c086f67b587b4b,42
0x01175ef4738b825cd12f4d1ff2d2904d52144531,37
0xc25f64d5a2ad90eb463388df6b5bafc468ba658e,24
0x2bd9ba12f21bcfb80a8a4a632bfa407a6a23326b,20
0x65d5b68a7878a987e7a19826a7f9aa6f5f92e10f,19
0x27b503fd677dd889ea3e7804df492d2d809e6052,17
0x5e66f491a1caed9291b59a6297f1a9dd71294e05,16
0xf3bf6bdfea27464840d53b07c33ea21c951d3746,19
0x615b95fefd5307964de2e38d544bb835c5b79717,15
0xdafe3083bd4865ade8fea183c0e058a585bab68b,18
0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,17
0x172697d24da16f36caf2fadc3e78b5a538fc858e,15
0x20669775d663d9a461ef2b2efca8fe43954f4b13,15
0x31e292ba33e01c3a9d3467890e2e5c99e1d6562b,16
0xcea9f52fb205846b0c2956ab347e078b564277f0,17
0x4d6654beec5942aee8e3102528a58fb34a0f1b19,15
0x10ea167893cb51500ec829222e3d17a968feb650,16
0xfad3e3a0c1b4a77f651f765b93669e7403fb0eb9,19
0x6cd5f918c5125f4e421c354e8b27d3bc9ff567f5,15
0x9672c0e1639f159334ca1288d4a24deb02117291,16
0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,1
0xa912cf5d10c87b7fc9cf6b47d203bd1052d02c67,1
