Wallet, Votes
0x65d5b68a7878a987e7a19826a7f9aa6f5f92e10f,27
0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,27
0x796ac058028f19974a4f8256f6b30fedcc96537d,28
0xb8abe31a6caf1217d632190559b2c1fd909178ec,25
0xf3bf6bdfea27464840d53b07c33ea21c951d3746,28
0x290aa5081d6298c181949946893876a1b76bf144,28
0xb8aee482305b7b219704350786fce47847cec996,28
0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,26
0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,28
0x726d714b8b6e10b6e25dd7926c92656046d9861d,19
0x42b81011a367d3c7f4e4b570fadd51209c93f287,28
0xf62aadadf80f0cee151af3851a9b3866255c6cd4,27
0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,28
0x45b5e0299401f38d7d18bdde102ae62cdff86429,21
0xdafe3083bd4865ade8fea183c0e058a585bab68b,28
0x597f0fdbb96485cd258777248052ff0e4781fe4c,28
0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,28
0x8c913aec7443fe2018639133398955e0e17fb0c1,27
0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,28
0x27b503fd677dd889ea3e7804df492d2d809e6052,24
0xa43f37e80f98a3a4c886ba862adc8bdbce40142b,27
0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,27
0x01175ef4738b825cd12f4d1ff2d2904d52144531,26
0x9e89a144f7c05eb0d258b61a71d00bca79e42715,28
0xd8652a853f4ac24c797faa02e4633bd69ac9394d,27
0xe02533f1b8bc4befd8561df63721a96936f978f9,28
0x4d6654beec5942aee8e3102528a58fb34a0f1b19,27
0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,27
0x4ffb83a8344f33453fbebe5e126534407ceb32f5,27
0x6bd68d667eccea663b2a2bee1311f7ad6c817602,28
0x8817e259b93256bbb86de6cd2e9b8612763cc674,27
0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,15
0xfed714ab05fbbc6f964653616c0565033a4da0ef,17
0x3caee6446cbbb73569ac230939b4310dea505fa9,8
0xd847ed72649a39aad263ac7a1dcae6eeb9d51e16,3
0x10ea167893cb51500ec829222e3d17a968feb650,3
