uid, name, address, discord_handle, option, weight, time
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,,栗子,1,2022-10-28 13:32:15
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,,咖啡,1,2022-10-28 13:32:15
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,,FEFE,1,2022-10-28 13:32:15
7191,robin,0x27aa5a880b512beaf40d1b2e0f256b09f5711444,,咖啡,1,2022-10-28 13:35:36
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,栗子,1,2022-10-28 13:37:41
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,pm,1,2022-10-28 13:37:41
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,FEFE,1,2022-10-28 13:37:41
8906,DarkS,0x6cd5f918c5125f4e421c354e8b27d3bc9ff567f5,Yohji#1575,咖啡,1,2022-10-28 13:38:57
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,栗子,1,2022-10-28 13:39:03
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,pm,1,2022-10-28 13:39:03
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,FEFE,1,2022-10-28 13:39:03
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,栗子,1,2022-10-28 13:39:43
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,pm,1,2022-10-28 13:39:43
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,咖啡,1,2022-10-28 13:39:43
30976,xiaoyao,0x60859ed309e5553b39bd66edf1a3c26473da3b6b,,栗子,1,2022-10-28 13:40:25
30976,xiaoyao,0x60859ed309e5553b39bd66edf1a3c26473da3b6b,,咖啡,1,2022-10-28 13:40:25
30976,xiaoyao,0x60859ed309e5553b39bd66edf1a3c26473da3b6b,,FEFE,1,2022-10-28 13:40:25
26640,zik,0x9d42a19e504f5f87f8b4edf7f9abf510a3026fab,zik#9003,栗子,1,2022-10-28 13:41:52
26640,zik,0x9d42a19e504f5f87f8b4edf7f9abf510a3026fab,zik#9003,pm,1,2022-10-28 13:41:52
26640,zik,0x9d42a19e504f5f87f8b4edf7f9abf510a3026fab,zik#9003,咖啡,1,2022-10-28 13:41:52
27187,Roy,0xece2bbab13b8b7aa5d1f1832ec9b1527f11224c0,,栗子,1,2022-10-28 13:42:25
27187,Roy,0xece2bbab13b8b7aa5d1f1832ec9b1527f11224c0,,pm,1,2022-10-28 13:42:25
27187,Roy,0xece2bbab13b8b7aa5d1f1832ec9b1527f11224c0,,咖啡,1,2022-10-28 13:42:25
26646,Adazz,0x490ee9a3dfe5fa4c65a4a65b3fe178a3c12398a6,,FEFE,1,2022-10-28 13:42:48
26646,Adazz,0x490ee9a3dfe5fa4c65a4a65b3fe178a3c12398a6,,签到票1,1,2022-10-28 13:42:48
26646,Adazz,0x490ee9a3dfe5fa4c65a4a65b3fe178a3c12398a6,,签到票2,1,2022-10-28 13:42:48
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth#3764,pm,1,2022-10-28 13:45:35
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth#3764,咖啡,1,2022-10-28 13:45:35
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth#3764,签到票1,1,2022-10-28 13:45:35
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,,栗子,1,2022-10-28 13:45:54
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,,pm,1,2022-10-28 13:45:54
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,,咖啡,1,2022-10-28 13:45:54
7160,kcpuppucino,0x9672c0e1639f159334ca1288d4a24deb02117291,,栗子,1,2022-10-28 13:47:12
7160,kcpuppucino,0x9672c0e1639f159334ca1288d4a24deb02117291,,pm,1,2022-10-28 13:47:12
7160,kcpuppucino,0x9672c0e1639f159334ca1288d4a24deb02117291,,咖啡,1,2022-10-28 13:47:12
27690,Hoodrh,0xa6097a4adf23553623a7917bbbb28c7bb2a7775c,,栗子,1,2022-10-28 13:51:04
27690,Hoodrh,0xa6097a4adf23553623a7917bbbb28c7bb2a7775c,,咖啡,1,2022-10-28 13:51:04
27690,Hoodrh,0xa6097a4adf23553623a7917bbbb28c7bb2a7775c,,FEFE,1,2022-10-28 13:51:04
8899,WillJiang,0xd8015579d04d3205c8a35244c7ce64b0bd6de822,,签到票1,1,2022-10-28 13:53:02
27711,ravenc,0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,,栗子,1,2022-10-28 13:57:24
27711,ravenc,0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,,pm,1,2022-10-28 13:57:24
27711,ravenc,0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,,咖啡,1,2022-10-28 13:57:24
12480,VeraSir,0x77bbfa1e9088b6763fdf18d4655421e81afaacee,,咖啡,1,2022-10-28 13:57:26
12480,VeraSir,0x77bbfa1e9088b6763fdf18d4655421e81afaacee,,签到票1,1,2022-10-28 13:57:26
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,,栗子,1,2022-10-28 14:00:39
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,,pm,1,2022-10-28 14:00:39
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,,咖啡,1,2022-10-28 14:00:39
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,,栗子,1,2022-10-28 14:01:14
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,,咖啡,1,2022-10-28 14:01:14
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,,FEFE,1,2022-10-28 14:01:14
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,,栗子,1,2022-10-28 14:10:52
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,,pm,1,2022-10-28 14:10:52
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,,FEFE,1,2022-10-28 14:10:52
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,,栗子,1,2022-10-28 14:12:29
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,,咖啡,1,2022-10-28 14:12:29
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,,签到票1,1,2022-10-28 14:12:29
30980,troublledyouth,0x20669775d663d9a461ef2b2efca8fe43954f4b13,,咖啡,1,2022-10-28 14:19:48
30980,troublledyouth,0x20669775d663d9a461ef2b2efca8fe43954f4b13,,签到票1,1,2022-10-28 14:19:48
30980,troublledyouth,0x20669775d663d9a461ef2b2efca8fe43954f4b13,,签到票2,1,2022-10-28 14:19:48
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,,pm,1,2022-10-28 14:26:39
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,,咖啡,1,2022-10-28 14:26:39
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,,FEFE,1,2022-10-28 14:26:39
27236,kyle37,0x043aee850680c4fb982761b585929834c26cc32c,,咖啡,1,2022-10-28 14:28:50
7390,Zephyr,0x615b95fefd5307964de2e38d544bb835c5b79717,,栗子,1,2022-10-28 14:32:34
7390,Zephyr,0x615b95fefd5307964de2e38d544bb835c5b79717,,咖啡,1,2022-10-28 14:32:34
7390,Zephyr,0x615b95fefd5307964de2e38d544bb835c5b79717,,FEFE,1,2022-10-28 14:32:34
30981,Yumingze,0x103af2b33400a4f955744a7f70e749435444f808,,咖啡,1,2022-10-28 14:35:32
30981,Yumingze,0x103af2b33400a4f955744a7f70e749435444f808,,签到票1,1,2022-10-28 14:35:32
30981,Yumingze,0x103af2b33400a4f955744a7f70e749435444f808,,签到票2,1,2022-10-28 14:35:32
27186,wonder,0xcea9f52fb205846b0c2956ab347e078b564277f0,,栗子,1,2022-10-28 14:46:43
27186,wonder,0xcea9f52fb205846b0c2956ab347e078b564277f0,,咖啡,1,2022-10-28 14:46:43
12660,ScaSte,0x172697d24da16f36caf2fadc3e78b5a538fc858e,,pm,1,2022-10-28 14:50:06
12660,ScaSte,0x172697d24da16f36caf2fadc3e78b5a538fc858e,,咖啡,1,2022-10-28 14:50:06
12660,ScaSte,0x172697d24da16f36caf2fadc3e78b5a538fc858e,,签到票1,1,2022-10-28 14:50:06
30986,Pzai,0x1534f20bf35904a10a1ad4c06641515d1c5d60ba,,栗子,1,2022-10-28 14:52:06
