uid, name, address, discord_handle, option, weight, time
27604,kuanfu,0x191bfd0535d06c56fdf80f37990d9cd20b807e9b,,敬超,1,2022-10-28 13:36:25
27604,kuanfu,0x191bfd0535d06c56fdf80f37990d9cd20b807e9b,,签到票1,1,2022-10-28 13:36:25
27604,kuanfu,0x191bfd0535d06c56fdf80f37990d9cd20b807e9b,,签到票2,1,2022-10-28 13:36:25
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,唐晗,1,2022-10-28 13:38:50
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,定慧,1,2022-10-28 13:38:50
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,敬超,1,2022-10-28 13:38:50
30976,xiaoyao,0x60859ed309e5553b39bd66edf1a3c26473da3b6b,,唐晗,1,2022-10-28 13:39:15
30976,xiaoyao,0x60859ed309e5553b39bd66edf1a3c26473da3b6b,,定慧,1,2022-10-28 13:39:15
30976,xiaoyao,0x60859ed309e5553b39bd66edf1a3c26473da3b6b,,敬超,1,2022-10-28 13:39:15
26640,zik,0x9d42a19e504f5f87f8b4edf7f9abf510a3026fab,zik#9003,唐晗,1,2022-10-28 13:40:55
26640,zik,0x9d42a19e504f5f87f8b4edf7f9abf510a3026fab,zik#9003,Helium,1,2022-10-28 13:40:55
26640,zik,0x9d42a19e504f5f87f8b4edf7f9abf510a3026fab,zik#9003,敬超,1,2022-10-28 13:40:55
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,唐晗,1,2022-10-28 13:41:01
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,定慧,1,2022-10-28 13:41:01
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,敬超,1,2022-10-28 13:41:01
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,唐晗,1,2022-10-28 13:41:24
