uid, name, address, discord_handle, option, weight, time
7191,robin,0x27aa5a880b512beaf40d1b2e0f256b09f5711444,,栗子,1,2022-10-28 13:34:58
27604,kuanfu,0x191bfd0535d06c56fdf80f37990d9cd20b807e9b,,签到票1,1,2022-10-28 13:37:37
30976,xiaoyao,0x60859ed309e5553b39bd66edf1a3c26473da3b6b,,栗子,1,2022-10-28 13:38:31
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,,栗子,1,2022-10-28 13:38:41
26640,zik,0x9d42a19e504f5f87f8b4edf7f9abf510a3026fab,zik#9003,Bai,1,2022-10-28 13:39:09
26646,Adazz,0x490ee9a3dfe5fa4c65a4a65b3fe178a3c12398a6,,栗子,1,2022-10-28 13:40:43
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,栗子,1,2022-10-28 13:42:30
8906,DarkS,0x6cd5f918c5125f4e421c354e8b27d3bc9ff567f5,Yohji#1575,栗子,1,2022-10-28 13:43:08
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,栗子,1,2022-10-28 13:44:51
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,,栗子,1,2022-10-28 13:50:15
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,,栗子,1,2022-10-28 13:50:24
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth#3764,栗子,1,2022-10-28 13:51:52
30980,troublledyouth,0x20669775d663d9a461ef2b2efca8fe43954f4b13,,签到票1,1,2022-10-28 14:02:43
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,,栗子,1,2022-10-28 14:07:18
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,签到票1,1,2022-10-28 14:07:33
7160,kcpuppucino,0x9672c0e1639f159334ca1288d4a24deb02117291,,栗子,1,2022-10-28 14:09:35
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,,栗子,1,2022-10-28 14:13:56
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,,栗子,1,2022-10-28 14:16:15
27690,Hoodrh,0xa6097a4adf23553623a7917bbbb28c7bb2a7775c,,栗子,1,2022-10-28 14:25:19
27236,kyle37,0x043aee850680c4fb982761b585929834c26cc32c,,栗子,1,2022-10-28 14:25:29
26643,Manman,0x10b4bd1a211bdd057ea16a2e13c086f67b587b4b,,栗子,1,2022-10-28 14:28:27
27711,ravenc,0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,,栗子,1,2022-10-28 14:36:11
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,,栗子,1,2022-10-28 14:42:08
12660,ScaSte,0x172697d24da16f36caf2fadc3e78b5a538fc858e,,Bai,1,2022-10-28 14:45:44
30986,Pzai,0x1534f20bf35904a10a1ad4c06641515d1c5d60ba,,栗子,1,2022-10-28 15:10:59
27935,HenryL,0x10ea167893cb51500ec829222e3d17a968feb650,HenryL#5853,栗子,1,2022-10-28 15:20:16
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,舟舟 tovarishch.eth#1910,栗子,1,2022-10-28 15:38:02
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis1997#0154,栗子,1,2022-10-29 01:39:19
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,,栗子,1,2022-10-29 11:01:46
