uid, name, address, discord_handle, option, weight, time
7191,robin,0x27aa5a880b512beaf40d1b2e0f256b09f5711444,,Ricky,1,2022-10-28 13:34:10
7191,robin,0x27aa5a880b512beaf40d1b2e0f256b09f5711444,,Ted,1,2022-10-28 13:34:10
27604,kuanfu,0x191bfd0535d06c56fdf80f37990d9cd20b807e9b,,Ricky,1,2022-10-28 13:37:20
27604,kuanfu,0x191bfd0535d06c56fdf80f37990d9cd20b807e9b,,签到票1,1,2022-10-28 13:37:20
27604,kuanfu,0x191bfd0535d06c56fdf80f37990d9cd20b807e9b,,签到票2,1,2022-10-28 13:37:20
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,,VincentZZH,1,2022-10-28 13:37:50
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,,ScaSte,1,2022-10-28 13:37:50
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,,Ricky,1,2022-10-28 13:37:50
26646,Adazz,0x490ee9a3dfe5fa4c65a4a65b3fe178a3c12398a6,,Ricky,1,2022-10-28 13:37:52
26646,Adazz,0x490ee9a3dfe5fa4c65a4a65b3fe178a3c12398a6,,HotWolf,1,2022-10-28 13:37:52
26646,Adazz,0x490ee9a3dfe5fa4c65a4a65b3fe178a3c12398a6,,签到票1,1,2022-10-28 13:37:52
26640,zik,0x9d42a19e504f5f87f8b4edf7f9abf510a3026fab,zik#9003,ScaSte,1,2022-10-28 13:38:16
26640,zik,0x9d42a19e504f5f87f8b4edf7f9abf510a3026fab,zik#9003,签到票1,1,2022-10-28 13:38:16
26640,zik,0x9d42a19e504f5f87f8b4edf7f9abf510a3026fab,zik#9003,签到票2,1,2022-10-28 13:38:16
8906,DarkS,0x6cd5f918c5125f4e421c354e8b27d3bc9ff567f5,Yohji#1575,VincentZZH,1,2022-10-28 13:41:58
8906,DarkS,0x6cd5f918c5125f4e421c354e8b27d3bc9ff567f5,Yohji#1575,Ricky,1,2022-10-28 13:41:58
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,ScaSte,1,2022-10-28 13:42:36
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,HotWolf,1,2022-10-28 13:42:36
