uid, name, address, discord_handle, option, weight, time
7160,kcpuppucino,0x9672c0e1639f159334ca1288d4a24deb02117291,,Ricky,1,2022-10-30 05:28:11
7160,kcpuppucino,0x9672c0e1639f159334ca1288d4a24deb02117291,,咖啡,1,2022-10-30 05:28:11
30976,xiaoyao,0x60859ed309e5553b39bd66edf1a3c26473da3b6b,,Ricky,1,2022-10-30 05:28:16
30976,xiaoyao,0x60859ed309e5553b39bd66edf1a3c26473da3b6b,,咖啡,1,2022-10-30 05:28:16
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,,Ricky,1,2022-10-30 05:30:37
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,,咖啡,1,2022-10-30 05:30:37
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,Ricky,1,2022-10-30 05:31:45
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,Queeny,1,2022-10-30 05:31:45
27187,Roy,0xece2bbab13b8b7aa5d1f1832ec9b1527f11224c0,,Ricky,1,2022-10-30 05:33:39
27187,Roy,0xece2bbab13b8b7aa5d1f1832ec9b1527f11224c0,,咖啡,1,2022-10-30 05:33:39
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,,Ricky,1,2022-10-30 05:37:51
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,,咖啡,1,2022-10-30 05:37:51
30981,Yumingze,0x103af2b33400a4f955744a7f70e749435444f808,,咖啡,1,2022-10-30 05:47:07
30981,Yumingze,0x103af2b33400a4f955744a7f70e749435444f808,,签到票1,1,2022-10-30 05:47:07
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,,签到票1,1,2022-10-30 05:48:27
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,,签到票2,1,2022-10-30 05:48:27
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,,Ricky,1,2022-10-30 05:48:41
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,,Queeny,1,2022-10-30 05:48:41
27236,kyle37,0x043aee850680c4fb982761b585929834c26cc32c,,Ricky,1,2022-10-30 05:52:27
27236,kyle37,0x043aee850680c4fb982761b585929834c26cc32c,,咖啡,1,2022-10-30 05:52:27
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth#3764,咖啡,1,2022-10-30 05:55:47
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth#3764,签到票1,1,2022-10-30 05:55:47
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,,Ricky,1,2022-10-30 06:07:53
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,,Queeny,1,2022-10-30 06:07:53
26640,zik,0x9d42a19e504f5f87f8b4edf7f9abf510a3026fab,zik#9003,Queeny,1,2022-10-30 06:08:28
26640,zik,0x9d42a19e504f5f87f8b4edf7f9abf510a3026fab,zik#9003,咖啡,1,2022-10-30 06:08:28
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,Ricky,1,2022-10-30 06:25:21
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,Queeny,1,2022-10-30 06:25:21
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,,Ricky,1,2022-10-30 06:41:45
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,,咖啡,1,2022-10-30 06:41:45
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,Ricky,1,2022-10-30 06:46:55
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,咖啡,1,2022-10-30 06:46:55
27711,ravenc,0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,,Ricky,1,2022-10-30 06:50:47
27711,ravenc,0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,,咖啡,1,2022-10-30 06:50:47
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,,Ricky,1,2022-10-30 06:53:47
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,,Queeny,1,2022-10-30 06:53:47
12660,ScaSte,0x172697d24da16f36caf2fadc3e78b5a538fc858e,,Ricky,1,2022-10-30 06:57:31
12660,ScaSte,0x172697d24da16f36caf2fadc3e78b5a538fc858e,,Queeny,1,2022-10-30 06:57:31
27935,HenryL,0x10ea167893cb51500ec829222e3d17a968feb650,HenryL#5853,Ricky,1,2022-10-30 06:58:47
27935,HenryL,0x10ea167893cb51500ec829222e3d17a968feb650,HenryL#5853,Queeny,1,2022-10-30 06:58:47
