uid, name, address, discord_handle, option, weight, time
30981,Yumingze,0x103af2b33400a4f955744a7f70e749435444f808,Yumingyuan#6586,120%,1,2023-02-18 23:56:37
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,120%,1,2023-02-19 00:59:17
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,Cheng#6436,120%,1,2023-02-19 01:56:58
27690,Hoodrh,0xa6097a4adf23553623a7917bbbb28c7bb2a7775c,Hoodrh#6562,100%,1,2023-02-19 03:37:22
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,栗子#8207,100%,1,2023-02-19 03:40:33
7654,dutypb.lookme,0x5ecc0ea06cc6ccdcf52aa0d1139c2813bb6ebef4,,100%,1,2023-02-19 06:55:05
29609,pm3,0x52ff0010d4058bb726725ad76f542c53033d67a1,ChrisZ#5970,120%,1,2023-02-19 08:58:18
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis1997#0154,120%,1,2023-02-19 09:20:09
27187,Roy,0xece2bbab13b8b7aa5d1f1832ec9b1527f11224c0,PatrickPDX#8802,120%,1,2023-02-19 09:30:43
27395,Co1dRainNight,0x800819b08c66a1ecbea09e4b64c7e3412c104df5,ColdRainNight#6347,120%,1,2023-02-19 12:14:59
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,sirs#8914,80%,1,2023-02-19 13:44:51
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr#0697,120%,1,2023-02-19 14:24:40
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,120%,1,2023-02-19 14:27:55
26408,lee.W,0xe02533f1b8bc4befd8561df63721a96936f978f9,lee0428#9835,120%,1,2023-02-19 14:52:40
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,Coffee#7382,120%,1,2023-02-19 15:35:07
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,舟舟 tovarishch.eth#1910,120%,1,2023-02-19 16:09:56
30976,xiaoyao,0x60859ed309e5553b39bd66edf1a3c26473da3b6b,,80%,1,2023-02-19 17:08:26
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,定慧 Thomas#3288,100%,1,2023-02-19 17:36:18
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,100%,1,2023-02-19 19:06:48
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,Owen zhang#5158,100%,1,2023-02-20 01:03:58
27236,kyle37,0x043aee850680c4fb982761b585929834c26cc32c,kyle37#1237,120%,1,2023-02-20 01:20:33
7191,robin,0x27aa5a880b512beaf40d1b2e0f256b09f5711444,Victor.D.F#2920,100%,1,2023-02-20 01:24:02
32801,Demian70,0x65d5b68a7878a987e7a19826a7f9aa6f5f92e10f,Demian#2778,120%,1,2023-02-20 01:53:12
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,SuanNai#5420,120%,1,2023-02-20 02:12:02
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,100%,1,2023-02-20 02:51:06
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,Fivea#9602,100%,1,2023-02-20 02:55:46
34502,yii,0xc25f64d5a2ad90eb463388df6b5bafc468ba658e,haojuju#0060,100%,1,2023-02-20 03:17:45
34518,saku,0x45b5e0299401f38d7d18bdde102ae62cdff86429,higasa sia#5627,120%,1,2023-02-20 08:22:36
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,VincentZZH#3925,120%,1,2023-02-20 09:55:29
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,Queeny#4247,120%,1,2023-02-20 13:38:51
27711,ravenc,0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,ravenc#7174,120%,1,2023-02-20 14:36:24
34538,tuntun,0x0505e7fddf5a88a8a3743ac579cb6f33c181d4bb,,120%,1,2023-02-20 15:06:18
26643,Manman,0x10b4bd1a211bdd057ea16a2e13c086f67b587b4b,Manman#6648,100%,1,2023-02-20 15:54:00
