uid, name, address, discord_handle, option, weight, time
27935,HenryL,0x10ea167893cb51500ec829222e3d17a968feb650,HenryL#5853,同意,1,2023-03-12 16:04:05
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,栗子#8207,同意,1,2023-03-12 16:07:28
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,舟舟 tovarishch.eth#1910,同意,1,2023-03-12 16:13:45
7160,kcpuppucino,0x9672c0e1639f159334ca1288d4a24deb02117291,kc c#1593,同意,1,2023-03-12 16:32:35
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,Coffee#7382,同意,1,2023-03-12 16:36:15
27236,kyle37,0x043aee850680c4fb982761b585929834c26cc32c,kyle37#1237,同意,1,2023-03-12 16:49:10
27711,ravenc,0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,ravenc#7174,同意,1,2023-03-12 16:50:07
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn#7046,同意,1,2023-03-12 22:35:06
32801,DemianSeeDAO,0x65d5b68a7878a987e7a19826a7f9aa6f5f92e10f,Demian#2778,同意,1,2023-03-12 23:08:43
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,Hal#2050,同意,1,2023-03-12 23:15:57
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth#3764,同意,1,2023-03-12 23:51:02
34378,Lasperado,0x2bd9ba12f21bcfb80a8a4a632bfa407a6a23326b,lasperado#5429,同意,1,2023-03-13 00:12:40
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,Cheng#6436,同意,1,2023-03-13 00:59:06
33081,PhilHuang,0xd8652a853f4ac24c797faa02e4633bd69ac9394d,Phil.Huang#9473,同意,1,2023-03-13 01:21:03
27186,wonder,0xcea9f52fb205846b0c2956ab347e078b564277f0,wonder#4252,同意,1,2023-03-13 01:25:55
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,SuanNai#5420,同意,1,2023-03-13 01:27:23
30981,Yumingze,0x103af2b33400a4f955744a7f70e749435444f808,Yumingyuan#6586,不同意,1,2023-03-13 01:52:20
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,同意,1,2023-03-13 02:52:51
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr#0697,同意,1,2023-03-13 06:46:48
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,sirs#8914,同意,1,2023-03-13 07:48:39
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,Owen zhang#5158,同意,1,2023-03-13 08:02:43
27395,Co1dRainNight,0x800819b08c66a1ecbea09e4b64c7e3412c104df5,ColdRainNight#6347,同意,1,2023-03-13 09:14:07
30355,HotWolf,0xf3bf6bdfea27464840d53b07c33ea21c951d3746,HotWolf#3778,同意,1,2023-03-13 09:34:11
27690,Hoodrh,0xa6097a4adf23553623a7917bbbb28c7bb2a7775c,Hoodrh#6562,同意,1,2023-03-13 11:46:19
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis1997#0154,同意,1,2023-03-13 13:33:23
34459,jackfe,0x9fbde1512d2aeb2000866fa6f8a01e6bc80559e0,,同意,1,2023-03-13 14:59:07
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,VincentZZH#3925,同意,1,2023-03-13 16:11:33
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,同意,1,2023-03-14 11:44:39
28456,sarse,0xa912cf5d10c87b7fc9cf6b47d203bd1052d02c67,,同意,1,2023-03-15 03:54:47
26408,lee.W,0xe02533f1b8bc4befd8561df63721a96936f978f9,lee0428#9835,同意,1,2023-03-15 04:23:52
34502,yii,0xc25f64d5a2ad90eb463388df6b5bafc468ba658e,haojuju#0060,同意,1,2023-03-15 04:25:45
34661,GuoCheng,0xfad3e3a0c1b4a77f651f765b93669e7403fb0eb9,Cheng｜DiCo#1312,同意,1,2023-03-15 04:52:48
29609,pm3,0x52ff0010d4058bb726725ad76f542c53033d67a1,ChrisZ#5970,同意,1,2023-03-15 08:10:53
