uid, name, address, discord_handle, option, weight, time
32801,DemianSeeDAO,0x65d5b68a7878a987e7a19826a7f9aa6f5f92e10f,Demian#2778,Yes (同意),1,2023-03-30 12:05:20
30355,HotWolf,0xf3bf6bdfea27464840d53b07c33ea21c951d3746,HotWolf#3778,Yes (同意),1,2023-03-30 12:14:49
26408,lee.W,0xe02533f1b8bc4befd8561df63721a96936f978f9,lee0428#9835,Yes (同意),1,2023-03-30 12:17:13
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,Cheng#6436,Yes (同意),1,2023-03-30 13:18:29
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,VincentZZH#3925,Yes (同意),1,2023-03-30 23:50:04
7191,robin,0x27aa5a880b512beaf40d1b2e0f256b09f5711444,Victor.D.F#2920,Yes (同意),1,2023-03-31 12:42:43
34661,GuoCheng,0xfad3e3a0c1b4a77f651f765b93669e7403fb0eb9,Cheng｜DiCo#1312,Yes (同意),1,2023-03-31 14:53:32
27236,kyle37,0x043aee850680c4fb982761b585929834c26cc32c,kyle37#1237,Yes (同意),1,2023-03-31 15:08:41
27711,ravenc,0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,ravenc#7174,Yes (同意),1,2023-03-31 18:32:32
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,Hal#2050,Yes (同意),1,2023-03-31 21:59:34
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,定慧 Thomas#3288,Yes (同意),1,2023-04-01 01:28:07
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,Yes (同意),1,2023-04-01 02:53:40
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,Owen zhang#5158,Yes (同意),1,2023-04-01 03:50:47
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr#0697,Yes (同意),1,2023-04-01 03:52:10
30981,Yumingze,0x103af2b33400a4f955744a7f70e749435444f808,Yumingyuan#6586,Yes (同意),1,2023-04-01 03:52:10
30976,xiaoyao,0x60859ed309e5553b39bd66edf1a3c26473da3b6b,,Yes (同意),1,2023-04-01 03:53:45
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,Fivea#9602,Yes (同意),1,2023-04-01 04:13:58
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,sirs#8914,Yes (同意),1,2023-04-01 04:23:04
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis1997#0154,Yes (同意),1,2023-04-01 05:44:19
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,栗子#8207,Yes (同意),1,2023-04-01 09:52:53
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,Coffee#7382,Yes (同意),1,2023-04-01 20:22:36
