uid, name, address, discord_handle, option, weight, time
30355,HotWolf,0xf3bf6bdfea27464840d53b07c33ea21c951d3746,HotWolf#3778,Yes,1,2023-04-20 15:58:26
34661,GuoCheng,0xfad3e3a0c1b4a77f651f765b93669e7403fb0eb9,Cheng｜DiCo#1312,Yes,1,2023-04-21 07:05:21
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr#0697,Yes,1,2023-04-21 09:37:25
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,Fivea#9602,Yes,1,2023-04-21 09:41:23
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth#3764,Yes,1,2023-04-21 09:42:34
27186,wonder,0xcea9f52fb205846b0c2956ab347e078b564277f0,wonder#4252,Yes,1,2023-04-21 10:00:17
34638,SueTang,0x5e66f491a1caed9291b59a6297f1a9dd71294e05,SueT#6252,Yes,1,2023-04-21 10:09:17
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,Cheng#6436,Yes,1,2023-04-21 11:26:19
33081,PhilHuang,0xd8652a853f4ac24c797faa02e4633bd69ac9394d,Phil.Huang#9473,Yes,1,2023-04-21 11:47:26
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis1997#0154,Yes,1,2023-04-21 13:34:08
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,栗子#8207,Yes,1,2023-04-21 14:14:47
26637,joannYu,0x31e292ba33e01c3a9d3467890e2e5c99e1d6562b,zzoaday,Yes,1,2023-04-21 15:56:27
32801,DemianSeeDAO,0x65d5b68a7878a987e7a19826a7f9aa6f5f92e10f,Demian#2778,Yes,1,2023-04-22 02:12:41
27395,Co1dRainNight,0x800819b08c66a1ecbea09e4b64c7e3412c104df5,ColdRainNight#6347,Yes,1,2023-04-22 02:52:50
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,Yes,1,2023-04-22 05:11:01
