uid, name, address, discord_handle, option, weight, time
32801,DemianSeeDAO,0x65d5b68a7878a987e7a19826a7f9aa6f5f92e10f,Demian#2778,Yes (同意),1,2023-05-19 11:11:19
30348,Hal,0xdafe3083bd4865ade8fea183c0e058a585bab68b,Hal#2050,Yes (同意),1,2023-05-19 11:24:06
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,Yes (同意),1,2023-05-19 13:04:20
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,舟舟 tovarishch.eth#1910,Yes (同意),1,2023-05-19 13:05:41
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,Owen zhang#5158,Yes (同意),1,2023-05-19 13:08:54
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,Queeny#4247,Yes (同意),1,2023-05-19 14:18:15
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,shawn#7046,Yes (同意),1,2023-05-19 23:53:30
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,VincentZZH#3925,Yes (同意),1,2023-05-20 00:30:48
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,栗子#8207,Yes (同意),1,2023-05-20 00:58:19
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,Yes (同意),1,2023-05-20 00:59:27
34518,saku,0x45b5e0299401f38d7d18bdde102ae62cdff86429,higasa sia#5627,Yes (同意),1,2023-05-20 01:43:09
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,Cheng#6436,Yes (同意),1,2023-05-20 02:04:06
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis1997#0154,Yes (同意),1,2023-05-20 04:14:18
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,Fivea#9602,Yes (同意),1,2023-05-20 06:43:14
30355,HotWolf,0xf3bf6bdfea27464840d53b07c33ea21c951d3746,HotWolf#3778,Yes (同意),1,2023-05-20 07:19:16
27711,ravenc,0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,ravenc#7174,Yes (同意),1,2023-05-20 07:33:12
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,Coffee#7382,Yes (同意),1,2023-05-20 07:38:12
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr#0697,Yes (同意),1,2023-05-20 07:39:34
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,sirs#8914,Yes (同意),1,2023-05-20 07:52:21
34661,GuoCheng,0xfad3e3a0c1b4a77f651f765b93669e7403fb0eb9,Cheng｜DiCo#1312,Yes (同意),1,2023-05-21 02:41:19
27236,kyle37,0x043aee850680c4fb982761b585929834c26cc32c,kyle37#1237,Yes (同意),1,2023-05-22 02:36:56
